question,answer
一日看盡長安花,春風得意馬蹄疾
一枝紅杏出牆來,春色滿園關不住
一騎紅塵妃子笑,無人知是荔枝來
三界傳說《清虛舊夢》中 人界群體宗門為何會圍攻清虛觀去,為了飛升之法
三界傳說「一念遮天」中黑帝不小心用火燒了靈獸仙師什麼,鬍子
三界傳說「一念遮天」中，讓紅毛怪物暫時恢復清醒的寶物是什麼,東皇鐘
三界傳說「一念遮天」中，魔帝帝子是誰殺害的,葉仙友
三界傳說「一念遮天」封印在神木古棺中的身份,魔帝
上古至寶中無法獲得以下幾種道具,機緣
下列哪一個不是北冥界的特有古寶,乾坤化氣爐
下列哪一個不是古寶注靈所需要的材料,優品星辰
下列哪一個不是提高仙友好感的物品,河洛卷
下列哪一個不是造化演武的階段,會武
下列哪一個不是造化至寶,天妖令
下列哪一個仙友不屬於界外仙友,薑子牙
下列哪一個仙術可以瞬間恢復滿血,仙王護體
下列哪一個仙靈絕技可以對自身附加必然會心,妲己
下列哪一個仙靈絕技可以驅散對手的收穫,早魃
下列哪一個法寶可以增加攻擊力,天罡寶劍
下列哪一個法寶可以攻擊 3 個目標,鼎
下列哪一個神通只能攻擊單一目標,修羅三斬
下列哪一個神通只能攻擊單一目標,萬劍訣·雙斬
下列哪一個神通只能攻擊單一目標,四方鬼泣
下列哪一個神通可以提供激盪效果,不滅金身
下列哪一個神通消耗消耗飛劍才能打出,天罡劍法
下列哪一個神通消耗鬼使不在場也可以使用,幽判·無妄痴
下列哪一個道具可以用來行囊擴容,虛空石
下列哪一種功法可以修練出無形的劍氣,寂滅劍法
下列哪一種效果無法被驅散,秘密咒
下列哪一種材料可以用於妖獸追獵的狩獵者商店進行道具兌換,妖魄幣
下列哪一種符石不是本命附靈的特殊效果符石,巽風石
下列哪一項不是永久卡特權,增加掛機時長上限
下列材料哪一個是鍛造虛空石的所需材料,崑玉
下列遊戲中哪一個不能從輪迴池中獲得,造化玉
不拘一格降人才,我勸天公抖擻
不破樓蘭終不還,黃沙百戰穿金甲
不要人誇好顏色,只留清氣滿乾坤
九州生意恃風雷,萬馬齊喑究可哀
乾坤大會是周幾進行,週日
事了拂衣去,深藏身與名
二十四橋明月夜,玉人何處教吹笛
五行法則每高於目標1級造成得最大多少額外傷害,0.005
人生得意須盡歡,莫使金樽空對月
