分类,题目,答案
游戏,宗门乱斗活动是周几进行,周六
游戏,以下哪种古宝可以提供秘境挂机灵石加成,玄金葫芦
游戏,中天北域中征战最终伤害加成节点属于哪种游历类型,中天山河
游戏,大境界渡劫时使用灵盾，可以抵御多少雷劫伤害,0.3
游戏,以下哪种古宝是主动古宝,龙渊剑
游戏,解锁《化龙诀》功法需要以下哪种灵兽达到中品,幽冥蛟龙
游戏,古宝重置的冷却时间是,24小时
游戏,仙魔法宝战钵可以附加几秒的定身效果,2
游戏,神秘灵兽袋中无法获得以下哪种灵兽,羽玄蛇
游戏,以下哪个不是仙灵可以增加仙界秘境妖丹获取,司年功曹
游戏,仙灵精卫的绝技效果为,附加屏障
游戏,神秘兽魂石无法鉴定出哪种物品,机缘
游戏,以下哪个奖励是可以通过小世界引灵获得的,荒域
游戏,小世界抽取天象需要消耗什么道具,天象玉
游戏,以下哪种仙魔法宝属于魔修,铃
游戏,将洛神赋送给仙友，可以增加多少好感度,1000
游戏,以下哪一个不是鬼修的修炼境界,煞劫
游戏,以下哪个称号是跨界论道纪元第一名奖励道号是什么,跨界道尊
游戏,以下哪个不是体修的修炼境界,武极
游戏,初级灵脉的储量是多少,400
游戏,大境界渡劫时使用劫盾，可以抵御多少雷劫伤害,0.6
游戏,以下哪种古宝可以提供会心倍率加成,凝神玉璧
游戏,铸宝铸造是需要消耗多少碎片,10
游戏,每天第一次浇灌药园需要消耗多少机缘,0
游戏,仙魔法宝幽凯固本效果的初试伤害减免比例是多少,0.6
游戏,以下哪本功法是一阶功法,长生诀
游戏,将松鹤图送给仙友，可以增加多少好感度,300
游戏,天玄破事哪种灵兽的天赋技能,玄灵龟
游戏,以下哪个仙灵绝技可以对敌方所有目标造成伤害,魑魅
游戏,将夜明珠送给仙友，可以增加多少好感度,20
游戏,仙灵绝技修习到几阶时将解锁绝技的使用,六阶
游戏,以下哪个神通不带有致盲效果,阴司审判
游戏,成道之路中无法获得以下哪种属性加成,会心倍率
游戏,以下哪种古宝无法为轮回池玩法提供加成,十方圆融坠
游戏,历练点的获取渠道不包括,每日福缘
游戏,仙魔决每期可从挑战任务中最多获得多少机缘,800
游戏,紫色突破丹药可以降低多少比例的元神恢复时间,0.55
游戏,山河斩妖的红品宝珠每次计算数量加多少,40%
游戏,诸天绝技阵的阵眼升级需要消耗什么材料,绝阵石
游戏,聚仙宴会的酒会仙礼开不出什么资源,神秘灵兽袋
剧情,三界传说“剑归逍遥”打架传送到异界有几个太阳（答案不确定）,1个（游戏里是2个）
剧情,太极八卦中代表火的是,离
剧情,太极八卦中代表山的是,艮
剧情,申公豹没有在以下哪个灵界势力待过,玉虚城
剧情,在主线任务中，你飞升灵界遇到的第一个人是谁,太白金星
剧情,与精卫争夺羽族王位的是,雷震子
剧情,华林仙子属于仙界什么势力,瑶池
剧情,三界传说“一念遮天”终，黑帝不小心用火烧掉了灵兽仙师的什么,胡子
